n_components,aic,bic,caic,entropy,relative_entropy,ll,converged,age_group,gender
2,101579.0075,101870.9861,101907.9861,739.6128221,0.945994749,-2.568706536,TRUE,"[0, 17]",M
3,95084.58025,95526.49382,95582.49382,1577.906475,0.927306794,-2.403395593,TRUE,"[0, 17]",M
4,90813.07737,91404.9259,91479.9259,2250.322488,0.917842669,-2.294338429,TRUE,"[0, 17]",M
5,88489.41431,89231.19781,89325.19781,793.576604,0.975044191,-2.2345737,TRUE,"[0, 17]",M
6,88763.83109,89655.54955,89768.54955,544.5657291,0.984617475,-2.240556511,FALSE,"[0, 17]",M
7,88560.74959,89602.40301,89734.40301,5687.639953,0.852066568,-2.234455653,FALSE,"[0, 17]",M
2,144295.703,144608.3708,144645.3708,1549.834665,0.935304569,-2.08648047,TRUE,"[0, 17]",F
3,136924.8962,137398.1231,137454.1231,309.4117747,0.991850967,-1.979295972,TRUE,"[0, 17]",F
4,129372.8077,130006.5938,130081.5938,3859.613648,0.919443224,-1.869488841,TRUE,"[0, 17]",F
5,129409.0093,130203.3545,130297.3545,14068.655,0.747074829,-1.869462823,TRUE,"[0, 17]",F
6,129446.6919,130401.5962,130514.5962,13792.41019,0.777272339,-1.869458231,FALSE,"[0, 17]",F
7,129484.3335,130599.797,130731.797,18989.32571,0.717641764,-1.869453047,FALSE,"[0, 17]",F
8,127425.0648,128701.0874,128852.0874,19331.34597,0.731014371,-1.839111495,FALSE,"[0, 17]",F
